family	allmb_name	gbif_species_key	num_occurrences	crop_state	myco_state	woody_state
Asteraceae	Grindelia_stricta_var._stricta	3146233	4770			non-woody
Asteraceae	Cosmos_bipinnatus	3098912	4797		neither	
Asteraceae	Coreopsis_tinctoria	3133950	4803			non-woody
Asteraceae	Achillea_nobilis	3120024	5184		arbuscular	
Asteraceae	Eriophyllum_lanatum	3130472	5224			non-woody
Asteraceae	Heterotheca_villosa	5401977	5380			non-woody
Asteraceae	Artemisia_dracunculus	3121581	5499		arbuscular	
Asteraceae	Tagetes_minuta	3088481	5708			non-woody
Asteraceae	Artemisia_annua	8373355	5986		arbuscular	
Asteraceae	Brachyglottis_repanda	3138474	5986		arbuscular	
Asteraceae	Senecio_minimus	4933577	6354			non-woody
Asteraceae	Tephroseris_palustris_subsp._congesta	7363445	6380		neither	
Asteraceae	Emilia_sonchifolia	7376217	6484			non-woody
Asteraceae	Artemisia_maritima	7879222	6617		neither	
Asteraceae	Cynara_cardunculus	3112364	6968		arbuscular	
Asteraceae	Xeranthemum_inapertum	3144041	7467			non-woody
Asteraceae	Hieracium_vulgatum	7777868	7655		neither	
Asteraceae	Santolina_villosa	3125952	7779			derived
Asteraceae	Baccharis_salicifolia	3129643	8273		arbuscular	ancestral
Asteraceae	Artemisia_ludoviciana	3120950	9616		arbuscular	
Asteraceae	Aster_bellidiastrum	5385837	10200			non-woody
Asteraceae	Carthamus_tinctorius	3138327	10348		arbuscular	
Asteraceae	Senecio_madagascariensis	3107722	10418			derived
Asteraceae	Tolpis_barbata	3097166	10422			non-woody
Asteraceae	Sigesbeckia_orientalis	3125901	10502			non-woody
Asteraceae	Atractylis_humilis	5398274	10947			non-woody
Asteraceae	Phagnalon_rupestre	3150037	11558		arbuscular	ancestral
Asteraceae	Echinops_sphaerocephalus	5392883	12425		arbuscular	
Asteraceae	Hubertia_riparia	5388600	14933			derived
Asteraceae	Phagnalon_saxatile	3150065	15185			derived
Asteraceae	Leucanthemum_ircutianum_subsp._asperulum	5401008	15194			non-woody
Asteraceae	Ageratum_conyzoides	5401673	15390			non-woody
Asteraceae	Aster_alpinus	5387396	15807			non-woody
Asteraceae	Helichrysum_arenarium	3131809	16063			non-woody
Asteraceae	Rhaponticum_coniferum	3142200	16359			non-woody
Asteraceae	Staehelina_dubia	3112552	18165			derived
Asteraceae	Cicerbita_alpina	3087634	18263		neither	
Asteraceae	Anthemis_cotula	8035698	19771		arbuscular	
Asteraceae	Adenostyles_alliariae	3133702	21987			non-woody
Asteraceae	Carthamus_lanatus	9051760	23580			non-woody
Asteraceae	Dittrichia_viscosa	3101184	23606			non-woody
