allmb_name	gbif_species_key	num_occurrences	myco_state
Arctostaphylos_uva-ursi	2882580	70805	ecto
Monotropastrum_humile	4168795	1029	neither
Monotropa_hypopitys	2888342	36754	both
Enkianthus_quinqueflorus	7328257	280	arbuscular
Calluna_vulgaris	2882482	483866	neither
Clethra_barbinervis	3718199	3759	arbuscular
Actinidia_arguta	3189693	3696	arbuscular
Actinidia_kolomikta	7270682	1764	neither
Saurauia_parviflora	7270726	4098	arbuscular
Actinidia_polygama	3189692	2735	neither
Symplocos_stawellii	7318817	7719	arbuscular
Styrax_japonicus	5371678	8764	arbuscular
Diapensia_lapponica	5333323	8765	neither
Eurya_japonica	7152601	7079	arbuscular
Impatiens_walleriana	2891772	2191	arbuscular
Impatiens_capensis	2891774	15988	arbuscular
Impatiens_noli-tangere	2891779	73965	neither
